Elementary,Intermediate ,Advanced
"Every morning, before India’s capital gets too hot,
some old friends meet. On the dry grass not far
from the India Gate monument at the centre of
Delhi, they stretch, breathe and meditate.","Every morning, before the temperatures in India’s
capital start to rise, a handful of old friends
gather. On the dry grass not far from the India
Gate monument at the centre of Delhi, they
stretch, breathe and meditate.","Every morning, before the temperatures in India’s
capital start to rise, a handful of old friends
gather. On the parched grass not far from the
India Gate monument at the centre of Delhi, they
stretch, breathe and meditate."
"“It is the only healthy way to start the day. Much
better than an egg or a sandwich or a cup of
tea,” said Arvind Singh at 6.15am as he did his
breathing exercises.","“It is the only healthy way to start the day. Much
better than an egg or a sandwich or a cup of
tea,” said Arvind Singh at 6.15am as he did his
breathing exercises on a bench.","“It is the only healthy way to start the day. Much
better than an egg or a sandwich or a cup of
tea,” said Arvind Singh at 6.15am as he did his
breathing exercises on a bench."
"Singh, a 42-year-old salesman, and his friends
are not alone. All across India you can see
people doing yoga together.","Singh, a 42-year-old salesman, and his
friends are not alone. All across India, in the
overcrowded cities, on whatever green space is
left, you can see similar scenes.","Singh, a 42-year-old salesman, and his friends
are far from alone. All across India, in the
overcrowded cities, on whatever green space is
left, similar scenes are being played out."
"On 21 June – the new International Day of Yoga
– Narendra Modi, India’s prime minister, hopes
the world will join in. On the grass near India
Gate, up to 45,000 people will take part in a
35-minute class. They hope it will be the biggest
yoga session ever.","On 21 June – the new International Day of
Yoga – Narendra Modi, India’s prime minister,
hopes the world will join in. On the grass near
India Gate, up to 45,000 people will take part in a
35-minute class – they hope it will be the biggest
yoga session ever.","On 21 June – the new International Day of Yoga
– Narendra Modi, India’s prime minister, hopes
the world will join in. The grass near India Gate
will be transformed into the venue for what, it is
hoped, will be the biggest single yoga session
ever held, with up to 45,000 people running
through a 35-minute routine."
"The participants will include 64-year-old Modi,
most of his government and celebrities.","The participants will include 64-year-old Modi,
most of his government and, they hope, a range
of celebrities.","The participants will include 64-year-old Modi,
most of his government and, they hope, a
range of celebrities. Officials have been sent to
round up volunteers from scores of countries
to reinforce the international credentials of the
ancient Indian practice."
"Modi wants to encourage Indians, and others, to
stretch. Modi and his Bharatiya Janata Party won
the Indian election in 2014. In May 2015, he told
schools to make sure students attended yoga
events on the International Day of Yoga.","Encouraging Indians, and others, to stretch has
become a focus for Modi, who led his Bharatiya
Janata Party to a landslide election victory in
2014. In May 2015, schools were told to make
sure students attended yoga events at the same
time as the big demonstration in Delhi, even
though it is on a Sunday.","Getting Indians, and others, stretching has
emerged as something of a focus for Modi,
who led his Bharatiya Janata Party (BJP) to a
landslide election victory in 2014. In May 2015,
schools were directed to make sure students
attended yoga events timed to coincide with
the big demonstration in Delhi, even though it is
being held on a Sunday."
"Everybody in India knows that their police officers
are out of shape. So, India wants to introduce
compulsory yoga for them. And, three million civil
servants and their families will get free daily yoga
lessons. Air India, the national airline, has also
said it will introduce yoga for trainee pilots.","India’s police officers are well known for being
out of shape. So, the government has said they
want to introduce compulsory yoga for them.
They have said, too, that daily yoga lessons will
be offered free to three million civil servants and
their families. Air India, the national airline, has
also said it will introduce yoga for trainee pilots.","Officials have already signalled the introduction of
compulsory yoga for India’s famously
out-of-shape police officers and said that daily
yoga lessons would be offered free to three
million civil servants and their families. Air India,
the national carrier, has also said it will introduce
yoga for trainee pilots. More controversially,
senior politicians in India have suggested more
widespread practice of yoga could bring down
soaring levels of sexual violence in the country."
"Modi is a vegetarian and a yoga practitioner. He
suggested an international yoga day when he
spoke to the United Nations on a visit to New
York in 2014.","Modi, an ascetic who is a vegetarian and an
enthusiastic yoga practitioner, suggested an
international yoga day when he was speaking to
the United Nations on a visit to New York in 2014.","Modi, an ascetic who is a committed vegetarian
and an enthusiastic yoga practitioner himself,
suggested an international yoga day when
speaking to the United Nations on a visit to New
York in 2014."
"Modi said that yoga is a gift of India’s ancient
tradition. He said that, when you do yoga, you
bring together mind and body, thought and action,
and create harmony between man and nature.
He added that “It is not about exercise – it is
about feeling in harmony with yourself, the world
and nature”.","Modi said that yoga is an invaluable gift of India’s
ancient tradition. He said that it encourages unity
of mind and body, thought and action, harmony
between man and nature, and a holistic approach
to health and wellbeing. He added, “It is not about
exercise but discovering the sense of oneness
with yourself, the world and nature.”","“Yoga is an invaluable gift of India’s ancient
tradition. It embodies unity of mind and body,
thought and action, restraint and fulfilment,
harmony between man and nature, a holistic
approach to health and wellbeing. It is not about
exercise but discovering the sense of oneness
with yourself, the world and nature,” Modi said at
the time, adding that yoga could help in tackling
climate change."
"Yoga is between 3,000 and 6,000 years old. It is
connected with local religious traditions including
Buddhism and Jainism, as well as Hinduism,
which is practised by 80% of Indians. In ancient
India, yoga was part of daily life.","Yoga is between 3,000 and 6,000 years
old. It came from somewhere on the Indian
subcontinent, possibly from among religious
ascetics. Its meditative practices, as well as its
physical exercises, have long been associated
with local religious traditions including Buddhism
and Jainism, as well as Hinduism, which is
practised by 80% of Indians.","The discipline is between 3,000 and 6,000 years
old and originated somewhere on the Indian
subcontinent, possibly among religious ascetics.
Its meditative practices, as well as its physical
exercises, have long been associated with local
religious traditions including Buddhism and
Jainism, as well as the Hinduism practised by
80% of Indians."
"Modi has been criticized for creating a view of
Indian culture that doesn’t give other traditions a
fair place.","Modi has been criticized before for creating a
view of Indian culture that has little place for other
traditions. One person called the event on 21
June “a mix of cultural nationalism
and commercialization”.","Modi, who started his career as an organizer
for a hardline Hindu nationalist organization,
has been previously criticized for promoting a
view of Indian culture that has little place for
other traditions. One commentator called the
event on 21 June “a mix of cultural nationalism,
commercialization and subtle coercion”."
"Suneel Singh, a guru in south Delhi, said that
yoga does not just belong to one religion: “Is t’ai
chi just Chinese? Is football just English? It is the
same with yoga – yoga is for everybody. It is a
cheap way to stay healthy.”","Others, however, talk about a recent US court
ruling that said yoga was not always linked to
religion. A court in California ruled that: “The
practice of yoga may be religious in some
contexts but yoga classes as taught in the [San
Diego] district are not religious, mystical or
spiritual.” This ruling came after two Christian
parents said they believed that yoga in schools
was a Hindu exercise.","Novelist Ajaz Ashraf wrote on India’s Scroll
website: “Underlying it is the hope of bringing
into the BJP tent the modern-day gurus and their
teeming followers, who largely constitute the
urban middle classes.”"
